Best Fit:       V     sigma        h3        h4        h5        h6
comp. 0      8.53        169 
comp. 1     -7.58        315 
comp. 2      0.0       0.0
chi2/DOF: 3.038
Reddening E(B-V): 0.279
Nonzero Templates: 81 / 112
Elapsed time in PPXF: 19.56 s
Spec Norm factor: 123.1131
Spec Norm lambda: 5600.00
Mini: 3025138.7304
Mcor: 2462023.7086
++++++++++++++++++++++++++++++
Gas V= -7.58 and sigma= 315.25 km/s
Number of emission lines: 20
Emission lines peak intensity:
Hepsilon 0.00e+00
Hdelta 6.71e+00
Hgamma 1.45e+01
Hbeta 2.08e+01
Halpha 1.98e+01
[SII]6716 3.50e+00
[SII]6731 1.53e+00
[SII]4068 0.00e+00
[SIII]6312 0.00e+00
[NIII]3967 0.00e+00
[HeI]4026 0.00e+00
[HeI]4143 0.00e+00
[HeI]4471 0.00e+00
[HeI]5875 0.00e+00
[HeI]6678 0.00e+00
[OIII]4363 0.00e+00
[ClIII]5517 3.31e+00
[OIII]5007d 1.81e+00
[OI]6300d 0.00e+00
[NII]6583d 1.67e+01
------------------------------


   # j          x_j(%)         Mini(%)         Mcor(%)           age_j           met_j         (L/M)_j           Mstar
     1         0.00000         0.00000         0.00000     3.00000e+07         0.00208     9.49377e-04         0.96050
     2         0.00000         0.00000         0.00000     3.00000e+07         0.00416     8.33357e-04         0.96050
     3         0.00000         0.00000         0.00000     3.00000e+07         0.00849     7.86165e-04         0.96060
     4         0.00000         0.00000         0.00000     3.00000e+07         0.01068     8.44450e-04         0.96070
     5         0.00000         0.00000         0.00000     3.00000e+07         0.02181     8.39329e-04         0.96060
     6         0.00000         0.00000         0.00000     3.00000e+07         0.02684     8.12900e-04         0.96040
     7         0.00000         0.00000         0.00000     3.00000e+07         0.03457     7.62107e-04         0.96010
     8         0.00000         0.00000         0.00000     3.00000e+07         0.04773     6.34217e-04         0.95940
     9         0.00000         0.00000         0.00000     5.00000e+07         0.00208     7.45927e-04         0.94980
    10         0.00000         0.00000         0.00000     5.00000e+07         0.00416     6.59975e-04         0.95010
    11         0.00000         0.00000         0.00000     5.00000e+07         0.00849     6.52005e-04         0.95040
    12         0.00000         0.00000         0.00000     5.00000e+07         0.01068     6.54787e-04         0.95060
    13         0.00000         0.00000         0.00000     5.00000e+07         0.02181     6.26381e-04         0.95090
    14         0.00000         0.00000         0.00000     5.00000e+07         0.02684     5.98766e-04         0.95090
    15         0.00000         0.00000         0.00000     5.00000e+07         0.03457     5.61905e-04         0.95080
    16         0.00000         0.00000         0.00000     5.00000e+07         0.04773     5.25720e-04         0.95030
    17         0.00000         0.00000         0.00000     8.00000e+07         0.00208     5.96463e-04         0.93990
    18         0.00000         0.00000         0.00000     8.00000e+07         0.00416     5.42890e-04         0.94030
    19         0.00000         0.00000         0.00000     8.00000e+07         0.00849     5.39593e-04         0.94090
    20         0.00000         0.00000         0.00000     8.00000e+07         0.01068     5.35679e-04         0.94130
    21         0.00000         0.00000         0.00000     8.00000e+07         0.02181     4.97418e-04         0.94210
    22         0.00000         0.00000         0.00000     8.00000e+07         0.02684     4.79762e-04         0.94210
    23         0.00000         0.00000         0.00000     8.00000e+07         0.03457     4.61183e-04         0.94220
    24         0.00000         0.00000         0.00000     8.00000e+07         0.04773     4.45223e-04         0.94180
    25         0.00000         0.00000         0.00000     1.00000e+08         0.00208     5.30175e-04         0.93500
    26         0.00000         0.00000         0.00000     1.00000e+08         0.00416     4.88469e-04         0.93540
    27         0.00000         0.00000         0.00000     1.00000e+08         0.00849     4.87365e-04         0.93620
    28         0.00000         0.00000         0.00000     1.00000e+08         0.01068     4.79127e-04         0.93670
    29         0.00000         0.00000         0.00000     1.00000e+08         0.02181     4.44129e-04         0.93770
    30         0.00015         0.00001         0.00002     1.00000e+08         0.02684     4.32446e-04         0.93790
    31         0.00237         0.00023         0.00026     1.00000e+08         0.03457     4.19527e-04         0.93800
    32         0.00790         0.00079         0.00091     1.00000e+08         0.04773     4.05247e-04         0.93770
    33         0.01771         0.00171         0.00192     2.00000e+08         0.00208     4.21975e-04         0.91700
    34         0.03248         0.00336         0.00380     2.00000e+08         0.00416     3.92864e-04         0.91810
    35         0.05293         0.00585         0.00661     2.00000e+08         0.00849     3.68495e-04         0.92020
    36         0.07962         0.00892         0.01009     2.00000e+08         0.01068     3.63402e-04         0.92130
    37         0.11292         0.01398         0.01586     2.00000e+08         0.02181     3.28810e-04         0.92350
    38         0.15307         0.01941         0.02203     2.00000e+08         0.02684     3.20962e-04         0.92380
    39         0.20014         0.02604         0.02957     2.00000e+08         0.03457     3.12818e-04         0.92420
    40         0.25411         0.03432         0.03896     2.00000e+08         0.04773     3.01329e-04         0.92400
    41         0.31480         0.03626         0.04030     3.00000e+08         0.00208     3.53307e-04         0.90440
    42         0.38197         0.04665         0.05196     3.00000e+08         0.00416     3.33213e-04         0.90650
    43         0.45531         0.06081         0.06801     3.00000e+08         0.00849     3.04702e-04         0.91020
    44         0.53448         0.07286         0.08160     3.00000e+08         0.01068     2.98528e-04         0.91140
    45         0.61905         0.09265         0.10411     3.00000e+08         0.02181     2.71902e-04         0.91450
    46         0.70857         0.10895         0.12248     3.00000e+08         0.02684     2.64674e-04         0.91490
    47         0.80251         0.12740         0.14329     3.00000e+08         0.03457     2.56362e-04         0.91540
    48         0.90029         0.14965         0.16832     3.00000e+08         0.04773     2.44829e-04         0.91540
    49         1.00139         0.14858         0.16212     5.00000e+08         0.00208     2.74278e-04         0.88800
    50         1.10530         0.17810         0.19505     5.00000e+08         0.00416     2.52562e-04         0.89130
    51         1.21151         0.21204         0.23362     5.00000e+08         0.00849     2.32524e-04         0.89670
    52         1.31953         0.23824         0.26288     5.00000e+08         0.01068     2.25402e-04         0.89800
    53         1.42888         0.28923         0.32067     5.00000e+08         0.02181     2.01051e-04         0.90230
    54         1.53916         0.32370         0.35912     5.00000e+08         0.02684     1.93509e-04         0.90290
    55         1.64998         0.36257         0.40255     5.00000e+08         0.03457     1.85202e-04         0.90360
    56         1.76100         0.40853         0.45368     5.00000e+08         0.04773     1.75424e-04         0.90380
    57         0.00000         0.00000         0.00000     8.00000e+08         0.00208     2.12239e-04         0.87230
    58         0.00139         0.00029         0.00031     8.00000e+08         0.00416     1.96090e-04         0.87630
    59         0.00629         0.00144         0.00156     8.00000e+08         0.00849     1.77881e-04         0.88290
    60         0.01735         0.00414         0.00450     8.00000e+08         0.01068     1.70709e-04         0.88450
    61         0.03674         0.01018         0.01113     8.00000e+08         0.02181     1.46876e-04         0.89000
